episode,reward
0,0.014
500,0.0072
1000,-0.0044
1500,0.0056
2000,0.0192
2500,-0.0208
3000,0.0236
3500,0.022
4000,-0.0128
4500,-0.0032
5000,0.0216
5500,0.0156
6000,0.0004
6500,-0.0028
7000,0.0196
7500,-0.0192
8000,-0.0064
8500,-0.0004
9000,-0.012
9500,0.0432
10000,-0.0376
10500,0.0236
11000,0.0124
11500,0.0216
12000,-0.0188
12500,0.0124
13000,-0.026
13500,-0.0112
14000,-0.0176
14500,0.0188
15000,0.034
15500,0.0056
16000,0.0064
16500,0.022
17000,-0.002
17500,0.0296
18000,-0.0132
18500,-0.012
19000,-0.018
19500,0.0092
